ref_date,SRS,PRS
2020-02-04,9.216084462561392e-7,0.01558604228362955
2020-02-05,8.916778336549398e-7,0.01470165580359513
2020-02-06,7.877963493913295e-7,0.0140134129485595
2020-02-07,7.937246781678892e-7,0.01342320178426989
2020-02-08,7.958018151637735e-7,0.01309924681418212
2020-02-09,9.359676484480696e-7,0.01339452001975158
2020-02-10,8.27066903416018e-7,0.01324033815249961
2020-02-11,8.698645775498876e-7,0.0137117808116783
2020-02-12,7.180381673674332e-7,0.013038749439238261
2020-02-13,6.613352681211933e-7,0.00283828952771357
2020-02-14,5.99543698630208e-7,0.00190112365853869
2020-02-15,1.391966287385006e-6,0.03050079532566464
2020-02-16,1.4049969414574608e-6,0.03075677699150783
2020-02-17,6.922050586634419e-7,0.0018663308394663
2020-02-18,4.274950443282806e-7,0.00110669862225333
2020-02-19,4.6999248557497746e-7,0.0010736658829705
2020-02-20,5.234767844336783e-7,0.00440077610762166
2020-02-21,1.0534880188022858e-6,0.00483859079560737
2020-02-22,2.8431012081088925e-6,0.00515317292240203
2020-02-23,3.099227167524985e-6,0.00477462279407013
2020-02-24,4.525495995971303e-6,0.00704404469344623
2020-02-25,6.1901778291044514e-006,0.0052662064666284
2020-02-26,4.103690804238517e-5,0.01612011259064417
2020-02-27,2.6338783567484335e-5,0.016978174408172
2020-02-28,2.8126527167175064e-5,0.01446370694626306
2020-02-29,6.179774888124812e-5,0.01503119584307939
2020-03-01,7.20525458890848e-5,0.02642019294246648
2020-03-02,9.947532402523506e-5,0.07908395262024426
2020-03-03,1.315635367402838e-4,0.07739316587518857
2020-03-04,1.26628303291736e-4,0.05875603309262799
2020-03-05,1.4815001750368846e-4,0.05877635846036326
2020-03-06,2.0891205126022703e-4,0.05793866049291955
2020-03-07,2.5741184599657296e-4,0.05652372874802426
2020-03-08,2.386586196490457e-4,0.0544344712064846
2020-03-09,2.4334902815259857e-4,0.04657459630372156
2020-03-10,2.5995851325997274e-4,0.05597225380547715
2020-03-11,3.554482350117237e-4,0.05051654365895196
2020-03-12,3.627674158758002e-4,0.05307660957439868
2020-03-13,3.83674902764032e-4,0.08352639104500048
2020-03-14,6.549743132151986e-4,0.07034044999090291
2020-03-15,8.247354047661501e-4,0.07218167019491885
2020-03-16,0.00103060148557626,0.0946529863685142
2020-03-17,0.00127900369140908,0.19382048717662903
2020-03-18,0.00268249231895825,0.3643414597809842
2020-03-19,0.00261760122715556,0.33370614230793877
2020-03-20,0.0034737997947354,0.28955868042681976
2020-03-21,0.0032145142621627,0.2589446490352433
2020-03-22,0.00411440315746185,0.2409052645943104
2020-03-23,0.00372110108456452,0.19869657280817857
2020-03-24,0.00407374035047816,0.2247527596281276
2020-03-25,0.00421400777651381,0.2109128209054265
2020-03-26,0.004233237298176,0.1777681453321583
2020-03-27,0.00473940438527529,0.15290635577495745
2020-03-28,0.00525645950752999,0.12286744266062288
2020-03-29,0.00635367572423763,0.13734870943824984
2020-03-30,0.00615822478610362,0.11522086184702288
2020-03-31,0.00850095984911285,0.10407015732069154
2020-04-01,0.00977059530882629,0.10204189021217153
2020-04-02,0.01122771082538346,0.10377652843992426
2020-04-03,0.01251083704892442,0.1094913846300174
2020-04-04,0.01099090964135639,0.09449760533579736
2020-04-05,0.01171466428696442,0.07934108822086688
2020-04-06,0.01186114173691221,0.06641348289246844
2020-04-07,0.01399764310364104,0.07379609964585498
2020-04-08,0.0151184342729633,0.08589453852000423
2020-04-09,0.02011438250445399,0.08204898839446856
2020-04-10,0.04040354974361506,0.11807790838120331
2020-04-11,0.0409437389018332,0.12112011099499163
2020-04-12,0.04471232366332834,0.12144930281472516
2020-04-13,0.04579186765296373,0.10357665563939608
2020-04-14,0.01449694109117268,0.06437430512477746
2020-04-15,0.03610365942893723,0.09940809260174088
2020-04-16,0.04053666498998239,0.10404252287456936
2020-04-17,0.03634049468687963,0.09912542104995643
2020-04-18,0.00918658566431886,0.0585872129236784
2020-04-19,0.00873462971281739,0.06128955273747675
2020-04-20,0.00925258425599289,0.05765404471422233
2020-04-21,0.01131045396461852,0.06288627989380953
2020-04-22,0.00939687605364689,0.05019340080315621
2020-04-23,0.0098481039825095,0.05211097721970213
2020-04-24,0.00956472747173634,0.05314865497640096
2020-04-25,0.01088486013046751,0.0380153750151607
2020-04-26,0.01289391033517215,0.04126274787637441
2020-04-27,0.01808730291604975,0.04679263612565778
2020-04-28,0.01107945375300464,0.04039924101539605
2020-04-29,0.00879533690285537,0.03611670102536179
2020-04-30,0.01345860448380032,0.03336769983959267
2020-05-01,0.00252416454491193,0.03745644681124693
2020-05-02,0.00251321252797264,0.03651880172071586
2020-05-03,0.00252254825380163,0.04994871245775614
2020-05-04,0.00234164641312839,0.04850167664901068
2020-05-05,0.00182521782998799,0.05393639931723201
2020-05-06,0.00182324314867871,0.05434490879205408
2020-05-07,0.00212564937696864,0.05518095827772559
2020-05-08,0.00198954597477563,0.04930175959500378
2020-05-09,0.00240086929442886,0.05137635464739931
2020-05-10,0.00177954192122742,0.04013047273638542
2020-05-11,0.00165083057647883,0.03719914473592123
2020-05-12,0.00200777206198062,0.0386066803121114
2020-05-13,0.00270230682711821,0.05797585788246835
2020-05-14,0.00281383053898353,0.06093035194064871
2020-05-15,0.00295393960676325,0.05240220288273949
2020-05-16,0.00314610064541858,0.05592399131346203
2020-05-17,0.00359134372773284,0.0599763413610369
2020-05-18,0.00474088933677664,0.04221283417965855
2020-05-19,0.00732809001062947,0.0716785576608004
2020-05-20,0.00386223556595058,0.0570923746013208
